update,policy_loss,value_loss,entropy,imitation_loss,total_loss,batch_size,update_count,rollout_seconds,update_seconds,transitions_per_second
215,0.02735215497927533,3.858247650994195,2.544349637296465,0.8393443839417564,2.098901385234462,2049.0,215.0,6.45872120000422,3.9444292000116548,317.0906339785439
216,0.005741845687023467,2.270122623691956,2.5310728748639426,0.8596495754188962,1.2874223482277658,2049.0,216.0,6.178167000005487,2.28091059999133,331.48990631010474
217,0.006461066245618794,2.8982603264351687,2.6175934871037803,0.8318134844303131,1.5957780025071568,2049.0,217.0,7.102032800001325,0.7857925999996951,288.3681415832968
218,-0.05239296623039991,1.5369697449107964,2.5467311607466803,0.8091257413228353,0.8524497530112664,2049.0,218.0,4.344842699996661,0.7201526999997441,471.36343969404777
219,-0.0043068359243787,1.5116753342768385,2.6175484789742365,0.9014534850915273,0.9056460503488779,2049.0,219.0,5.262763800012181,0.7163443999888841,389.1491387083076
220,-0.042918632292033486,0.3697278780422898,2.587639980845981,0.8648799161116282,0.2890448924154043,2049.0,220.0,4.090441799999098,0.7217560999997659,500.67941316276676
221,-0.03423786932964706,2.120244314376679,2.5134891271591187,0.8752870725260841,1.175806798868709,2049.0,221.0,5.572274200007087,0.8036623000079999,367.5339594733862
222,-0.04356156982895401,0.7908017889906963,2.639053616258833,0.9109473907285266,0.5076382743815581,2049.0,222.0,4.47662030000356,0.7359910999948625,457.4879848528523
223,-0.004177807248197496,4.059632562656286,2.5156823926501803,0.8371410005622439,2.167909862473607,2049.0,223.0,5.672397700007423,0.9917744999984279,361.0466170235772
224,0.01674389647733834,1.0735178691619593,2.588224987188975,0.8339849909146627,0.6944175851013925,2049.0,224.0,9.885819599992828,0.8235749000014039,207.16542308757948
225,-0.023768002193214163,1.119817442105462,2.565547466278076,0.8975237939092848,0.6899900088707606,2049.0,225.0,5.2202393999905325,0.8381012000027113,392.31917218273827
226,0.18117543858372503,1.4739247934970383,2.58751740720537,0.8459693060980903,1.0614565304583974,2049.0,226.0,6.724034099999699,1.4124214999901596,304.5790621436753
227,0.03480488349062701,1.0565413537745674,2.5909167528152466,0.8688947574959861,0.7109453413221571,2049.0,227.0,5.746421499992721,1.0035333999985596,356.39571514247507
228,0.08370788998177482,1.2706057333715661,2.5602435734536915,0.9409475972255071,0.88159783060352,2049.0,228.0,6.04788009999902,0.6687908000021707,338.6310518954124
229,-0.09631350084156212,5.743101206763337,2.553051186932458,0.8507415056228638,2.9198549195296235,2049.0,229.0,7.788252599988482,1.361766300004092,262.96014076418487
230,-0.011303701968346205,8.253832718978325,2.506135861078898,0.8479068378607432,4.260132669160764,2049.0,230.0,5.1065508000028785,0.7609867000137456,401.0534860436218
231,0.024765583272609446,6.491883335842027,2.5455263323254056,0.8914613624413809,3.423544274436103,2049.0,231.0,4.607093300000997,1.3311380000086501,444.53191343000515
232,-0.0006654716045078305,5.739091062439709,2.552694400151571,0.85901168651051,3.01515544205904,2049.0,232.0,6.0204445000126725,1.0502946000051452,340.17421803252057
233,-0.06647060301879214,4.415960112793578,2.5685345000690885,0.8677150524324841,2.2893671352002354,2049.0,233.0,6.976068800009671,0.7751711000018986,293.5750863003474
234,0.04680076244080232,8.191181964344448,2.58157836066352,0.793821770283911,4.275340363590254,2049.0,234.0,6.435144400005811,0.8137321999965934,318.2523767451358
235,0.04450727682301982,6.467211603232297,2.53687059879303,0.8564280966917673,3.42402995377779,2049.0,235.0,5.385585899988655,0.8974263999989489,380.27431704400334
236,0.09571684876249896,7.086671373496453,2.5488534106148615,0.8252837293677859,3.7786207124590874,2049.0,236.0,6.273677299992414,0.8466537999920547,326.4433126011241
237,-0.0674472520283113,2.315057930433088,2.5315329167577953,0.839829663435618,1.2327323224809434,2049.0,237.0,6.052976800012402,0.9632731000019703,338.3459193162286
238,0.03146092673867113,3.787249385482735,2.568692598077986,0.846582219004631,2.0687151447766357,2049.0,238.0,5.21489489999658,5.019549699994968,392.72124161147394
239,-0.03585821368162417,5.7605190662248384,2.5149309237798056,0.8061649319198396,2.9804850295186043,2049.0,239.0,4.970704600011231,0.7359638000052655,412.0140231216662
240,-0.014045148596374525,11.567744290249216,2.5032034317652383,0.7822218686342239,5.9012392808993654,2049.0,240.0,5.7724391000083415,0.813587099997676,354.7893645161264
241,0.04342591471181044,3.668952971662091,2.4981165329615274,0.7507058514489068,2.0030624059339366,2049.0,241.0,6.7470081000064965,0.7953744999977062,303.54195069041464
242,0.04408580943062487,1.7182648200541735,2.5783662332428827,0.7408896717760298,1.0256124958395958,2049.0,242.0,7.872363899994525,1.204911799999536,260.1505756106402
243,0.10440204300296803,3.7431438978399254,2.4640025827619763,0.7119648837380939,2.093726937348644,2049.0,243.0,8.22893440000189,1.2213502999948105,248.8779106076638
244,-0.0075137907665015925,5.8976636454463005,2.3934281733300953,0.6637349426746368,3.0501307418776884,2049.0,244.0,13.368972700001905,0.8322066000109771,153.1905289925312
245,0.029681701601172488,2.2263042401108475,2.5198073320918613,0.7775310559405221,1.2731419549220138,2049.0,245.0,12.430054500000551,2.0870962999906624,164.7619485497758
246,-0.2156751856414808,4.090843032631609,2.5608772238095603,0.8180693917804294,1.9677514992654324,2049.0,246.0,14.855719500003033,4.151664500008337,137.85936117059708
247,0.11295960769833376,2.6446957364678383,2.531407548321618,0.7570032212469313,1.561394019259347,2049.0,247.0,25.43504659998871,3.9017445999925258,80.51882240313682
248,-0.10393588689880238,0.2627418074084239,2.615363703833686,0.7922860052850511,0.1597385820415285,2049.0,248.0,9.249389600008726,4.251096799998777,221.42001673257096
249,-0.03719977599879106,0.5495375991773067,2.6708139379819236,0.8125744760036469,0.3733757763273186,2049.0,249.0,10.464767500001471,1.9832500999909826,195.7043001671764
250,0.0036586996995740468,1.8677194947771971,2.584861775239309,0.7245530916584862,1.0565804574224684,2049.0,250.0,6.871924500010209,0.8831319000018993,298.024228874598
251,0.05070428785661028,0.27030212499408257,2.5476293100251093,0.6704520169231627,0.29446946788165307,2049.0,251.0,14.41161190001003,3.7981063000042923,142.10762919577198
252,0.01148471562191844,2.3031444826337975,2.5687558386060925,0.7745365500450134,1.292276718136337,2049.0,252.0,9.674438699992606,0.8024456999992253,211.6918679738562
253,-0.051354826893657446,0.18837494126314092,2.591202530595991,0.7391785979270935,0.16475634401043257,2049.0,253.0,5.4106165999983205,35.225894200004404,378.51508458400764
254,0.011123238907506069,3.653627672853569,2.5366769830385842,0.7357244723372989,1.9597152041064367,2049.0,254.0,45.16991900000721,37.43827150001016,45.3399086236943
255,-0.01221336075104773,0.19371247788270315,2.5862517952919006,0.807248572508494,0.22023007708291212,2049.0,255.0,26.953155800001696,14.030654800008051,75.98368128751258
256,-0.031867425513660744,3.243564408272505,2.5481203926934137,0.78595546219084,1.7216246811052163,2049.0,256.0,14.92748389999906,0.46631069999421015,137.1965974788376
257,3.480977223565181e-05,1.926045905928024,2.523819559150272,0.7479015224509769,1.0873998643623457,2049.0,257.0,19.636433799998485,2.1966025000001537,104.29592363151795
