update,policy_loss,value_loss,entropy,imitation_loss,total_loss,batch_size,update_count
70,0.008276738139102235,4.121110640466213,2.6158874928951263,0.9478343576192856,2.2322400361299515,2048.0,70.0
71,-0.0020490627066465095,2.7467588894069195,2.6200665459036827,0.9167962055653334,1.5284889452159405,2048.0,71.0
72,-0.002314232668140903,2.8418421745300293,2.6188823580741882,0.9246588982641697,1.5773498117923737,2048.0,72.0
73,5.933383363299072e-05,5.515982203185558,2.6191679909825325,0.9224828854203224,2.9163553304970264,2048.0,73.0
74,0.0041451818542554975,2.082651000469923,2.6169789656996727,0.9383087661117315,1.2069626450538635,2048.0,74.0
75,-0.0020593689987435937,2.829332575201988,2.6115248799324036,0.9224134013056755,1.5709743462502956,2048.0,75.0
76,-0.0022488356480607763,2.394795723259449,2.620764821767807,0.9485836829990149,1.3586581125855446,2048.0,76.0
77,0.000982942379778251,4.604469992220402,2.6088906452059746,0.9386063367128372,2.4648503102362156,2048.0,77.0
78,-0.0033001713745761663,3.5087475776672363,2.6183677315711975,0.9116137679666281,1.90721270814538,2048.0,78.0
79,0.0012151904229540378,4.179325126111507,2.6170733347535133,0.9103095773607492,2.246768955141306,2048.0,79.0
80,0.0038778796733822674,4.415662974119186,2.6165542975068092,0.9305630270391703,2.371656436473131,2048.0,80.0
